Individual, Wi
1,0.828180
2,0.835285
3,0.800450
4,0.890716
5,0.881396
6,0.941648
7,0.865750
8,0.920576
9,0.934116
10,0.934334
11,0.880868
12,0.972894
13,0.948853
14,0.941976
15,0.809541
16,0.899700
17,0.953801
18,0.904879
19,0.903690
20,0.937373
21,0.942791
22,0.827688
23,0.885959
24,0.967905
25,0.916759
26,0.924835
27,0.959991
28,0.876428
29,0.887234
30,0.929043
31,0.926807
32,0.874420
33,0.982948
34,0.884946
35,0.922498
36,0.959936
37,0.762675
38,0.812746
39,0.909796
40,0.908588
41,0.921150
42,0.924810
43,0.897122
44,0.949442
45,0.932968
46,0.972787
47,0.912226
48,0.882107
49,0.930293
50,0.945314
51,0.920654
52,0.817295
53,0.806268
54,0.878849
55,0.898203
56,0.944789
57,0.962746
58,0.904016
59,0.821636
60,0.882353
61,0.880366
62,0.862236
63,0.957406
64,0.959847
65,0.909332
66,0.936813
67,0.920616
68,0.945713
69,0.936547
70,0.728708
71,0.981783
72,0.801062
73,0.938575
74,0.902363
75,0.951509
76,0.959482
77,0.910147
78,0.882720
79,0.915997
80,0.942185
81,0.864005
82,0.926343
83,0.934806
84,0.890327
85,0.953129
86,0.919974
87,0.926526
88,0.916619
89,0.911762
90,0.946971
91,0.958134
92,0.975014
93,0.940446
94,0.870561
95,0.932017
96,0.875425
97,0.817714
98,0.862889
99,0.907768
100,0.972597
101,0.864865
102,0.876203
103,0.845932
104,0.902487
105,0.909828
106,0.844589
107,0.685675
108,0.858478
109,0.889116
110,0.960308
111,0.955525
112,0.926778
113,0.846016
114,0.917421
115,0.974808
116,0.915607
117,0.947357
118,0.954765
119,0.933523
120,0.888408
121,0.914869
122,0.802603
123,0.940550
124,0.938004
125,0.931712
126,0.883435
127,0.965431
128,0.865820
129,0.878500
130,0.815646
131,0.927813
132,0.955328
133,0.822437
134,0.846797
135,0.687958
136,0.922893
137,0.871090
138,0.842740
139,0.976294
140,0.908048
141,0.918489
142,0.862915
143,0.922421
144,0.963276
145,0.927406
146,0.897394
147,0.908419
148,0.942645
149,0.854647
150,0.926352
151,0.862378
152,0.951456
153,0.936512
154,0.950669
155,0.919555
156,0.936030
157,0.979291
158,0.909194
159,0.781097
160,0.870265
161,0.896137
162,0.905073
163,0.873740
164,0.905973
165,0.877446
166,0.899572
167,0.913646
168,0.950399
169,0.854917
170,0.864344
171,0.889810
172,0.940982
173,0.963193
174,0.941385
175,0.752763
176,0.883970
177,0.899606
178,0.857227
179,0.928829
180,0.925382
181,0.901457
182,0.954818
183,0.963258
184,0.869924
185,0.970728
186,0.994590
187,0.879023
188,0.962055
189,0.960877
190,0.880761
191,0.962085
192,0.902124
193,0.952165
194,0.881718
195,0.872928
196,0.906399
197,0.940377
198,0.977202
199,0.920011
200,0.831448
201,0.903499
202,0.887375
203,0.910839
204,0.962699
205,0.962746
206,0.917377
207,0.856573
208,0.934441
209,0.912130
210,0.891980
211,0.956514
212,0.867110
213,0.921324
214,0.850294
215,0.842302
216,0.922086
217,0.957539
218,0.959476
219,0.886894
220,0.836370
221,0.932034
222,0.915102
223,0.869317
224,0.869557
225,0.947907
226,0.917031
227,0.946582
228,0.954028
229,0.825279
230,0.872656
231,0.760980
232,0.899489
233,0.848552
234,0.921497
235,0.961585
236,0.888360
237,0.865987
238,0.873846
239,0.896846
240,0.800604
241,0.897439
242,0.945873
243,0.883008
244,0.917779
245,0.828491
246,0.888312
247,0.856554
248,0.796034
249,0.923488
250,0.913179
251,0.826010
252,0.928866
253,0.896473
254,0.891083
255,0.863776
256,0.951681
257,0.878088
258,0.963676
259,0.980132
260,0.959919
261,0.915598
262,0.917556
263,0.919858
264,0.770771
265,0.974316
266,0.892526
267,0.925249
268,0.923376
269,0.946795
270,0.972423
271,0.958308
272,0.917543
273,0.989970
274,0.963784
275,0.771207
276,0.941922
277,0.919979
278,0.966789
279,0.926196
280,0.946993
281,0.962736
282,0.797399
283,0.957515
284,0.843499
285,0.953128
286,0.901730
287,0.913093
288,0.938206
289,0.957402
290,0.938395
291,0.938599
292,0.937320
293,0.929759
294,0.905718
295,0.954491
296,0.914199
297,0.958255
298,0.911821
299,0.953066
300,0.977506
301,0.950743
302,0.898833
303,0.938782
304,0.903178
305,0.892909
306,0.925136
307,0.874657
308,0.949385
309,0.864701
310,0.873469
311,0.890239
312,0.908065
313,0.956428
314,0.875377
315,0.928255
316,0.919621
317,0.907721
318,0.896415
319,0.725615
320,0.924709
321,0.885698
322,0.927530
323,0.902116
324,0.856839
325,0.939267
326,0.966110
327,0.902491
328,0.898133
329,0.931199
330,0.876058
331,0.854355
332,0.962188
333,0.962869
334,0.844991
335,0.943210
336,0.846751
337,0.885122
338,0.943067
339,0.866708
340,0.898894
341,0.899589
342,0.953418
343,0.882863
344,0.920105
345,0.911221
346,0.843070
347,0.921955
348,0.814403
349,0.894071
350,0.944667
351,0.913353
352,0.943749
353,0.915304
354,0.920010
355,0.983263
356,0.927781
357,0.852375
358,0.712811
359,0.909575
360,0.891982
361,0.837475
362,0.951116
363,0.903681
364,0.869003
365,0.756152
366,0.936982
367,0.879988
368,0.987461
369,0.917755
370,0.791040
371,0.887126
372,0.956158
373,0.967074
374,0.870339
375,0.899158
376,0.971761
377,0.921673
378,0.916436
379,0.947050
380,0.814593
381,0.788206
382,0.813595
383,0.976035
384,0.897258
385,0.799851
386,0.969766
387,0.940151
388,0.924303
389,0.828617
390,0.948847
391,0.979944
392,0.935074
393,0.912714
394,0.851352
395,0.947969
396,0.870262
397,0.891689
398,0.948616
399,0.945545
400,0.858973
401,0.951858
402,0.909696
403,0.936037
404,0.974250
405,0.922463
406,0.904681
407,0.947478
408,0.948216
409,0.874695
410,0.861370
411,0.978355
412,0.956837
413,0.885961
414,0.840245
415,0.762283
416,0.885815
417,0.945494
418,0.902635
419,0.898869
420,0.920041
421,0.950273
422,0.884270
423,0.944634
424,0.875679
425,0.984079
426,0.940595
427,0.824354
428,0.846845
429,0.920279
430,0.879221
431,0.872034
432,0.933921
433,0.854280
434,0.891098
435,0.909370
436,0.968647
437,0.800077
438,0.925674
439,0.845933
440,0.931461
441,0.856260
442,0.935380
443,0.937834
444,0.927338
445,0.903898
446,0.853646
447,0.937454
448,0.957387
449,0.915384
450,0.948974
451,0.974190
452,0.891905
453,0.870693
454,0.898526
455,0.810044
456,0.909602
457,0.946741
458,0.900810
459,0.898486
460,0.880889
461,0.968610
462,0.979298
463,0.895250
464,0.929515
465,0.944942
466,0.928606
467,0.937869
468,0.870978
469,0.901680
470,0.875882
471,0.870039
472,0.913430
473,0.929042
474,0.978592
475,0.938305
476,0.939968
477,0.955705
478,0.780638
479,0.926787
480,0.951900
481,0.930425
482,0.918656
483,0.885288
484,0.883964
485,0.949824
486,0.897737
487,0.927727
488,0.930559
489,0.946654
490,0.929394
491,0.983645
492,0.862624
493,0.883943
494,0.961728
495,0.914482
496,0.889790
497,0.957400
498,0.851366
499,0.902983
500,0.957717
501,0.958021
502,0.830444
503,0.965446
504,0.906417
505,0.970219
506,0.890184
507,0.932316
508,0.916572
509,0.858269
510,0.944034
511,0.870013
512,0.916825
513,0.918257
514,0.948132
515,0.921595
516,0.929251
517,0.842901
518,0.896430
519,0.760702
520,0.842450
521,0.945264
522,0.922880
523,0.923638
524,0.879414
525,0.876734
526,0.916114
527,0.921983
528,0.851845
529,0.881338
530,0.945604
531,0.934784
532,0.843420
533,0.974267
534,0.921179
535,0.894935
536,0.861013
537,0.943365
538,0.898862
539,0.992589
540,0.945399
541,0.972895
542,0.795829
543,0.889063
544,0.909468
545,0.906067
546,0.876115
547,0.981942
548,0.875080
549,0.907423
550,0.872480
551,0.867351
552,0.941323
553,0.899987
554,0.910069
555,0.884207
556,0.862908
557,0.859901
558,0.916877
559,0.924358
560,0.836694
561,0.920916
562,0.782755
563,0.932290
564,0.904426
565,0.848788
566,0.912393
567,0.972101
568,0.956331
569,0.949670
570,0.934458
571,0.922625
572,0.845628
573,0.859078
574,0.946967
