Nxtimesteps,Sum.of.wis,Variance.in.log.fitness
1,986.680682,0.001214038165221265
2,969.220217,0.002491512021506875
3,958.069983,0.002920304648577863
4,944.901011,0.003675614472810099
5,934.936189,0.004133319819269169
6,925.790276,0.004821686682536318
7,909.904391,0.005969221539348386
8,902.355384,0.005984308993402940
9,890.124830,0.007037933380953240
10,885.877677,0.007681364856933379
11,873.730148,0.008201872328213376
12,863.751732,0.008549012791500006
13,858.515126,0.008948823839278329
14,857.124034,0.009344294343588491
15,849.552802,0.009838277476593873
16,853.982547,0.009605437179879177
17,846.256831,0.009316596236064680
18,840.223836,0.009923907872407309
19,831.059583,0.010161133168733492
20,825.830619,0.010530660988941924
21,818.430033,0.011003105498843081
22,812.244423,0.011159293215605080
23,805.407965,0.011556013061351117
24,804.771584,0.011304729981136586
25,802.915553,0.010475340722675615
26,802.872284,0.010570186318484505
27,796.143711,0.010132956284054128
28,790.683748,0.009977587536540178
29,790.789187,0.010789047591988166
30,791.668662,0.010158420771341953
31,781.616802,0.010099018352064448
32,774.065143,0.011428261507976182
33,770.210780,0.011678831327348560
34,773.858563,0.011618254292503268
35,772.175691,0.011641424590005965
36,766.570088,0.012650155117369194
37,762.027015,0.013494828175876848
38,756.311375,0.014533905703879923
39,758.676873,0.014305906118785379
40,763.236739,0.013512863545728684
41,762.362360,0.012834493184498049
42,757.383873,0.011704693576679534
43,755.705004,0.011602292440755916
44,750.881470,0.011844689680744864
45,754.631376,0.012014699082457551
46,751.358508,0.011242552174618618
47,751.972692,0.011524889445413600
48,756.163281,0.011185519516289483
49,752.902752,0.011318360266849375
50,749.055637,0.011127274078342233
51,740.785388,0.011893883307120309
52,737.123290,0.014359436499615861
53,736.382178,0.012777028130155660
54,734.302782,0.013928491055377919
55,728.194496,0.013778376783829737
56,719.145058,0.014975100811193676
57,720.538037,0.014597065109046094
58,721.228265,0.015609551663035733
59,727.548370,0.013824978134230469
60,724.691026,0.013466018553141524
61,722.556916,0.014756687073123997
62,716.811264,0.014143548551912426
63,716.705890,0.014356814129256781
64,720.563218,0.014928002303895047
65,715.283608,0.014907517806762596
66,715.403901,0.014701454559465104
67,709.843174,0.014903170407638690
68,708.012935,0.014987973794687599
69,701.628990,0.014809328028324494
70,703.483488,0.013619224954444377
71,705.823543,0.012529981648946130
72,700.456074,0.013430728789643430
73,701.296168,0.014479213318166264
74,703.092849,0.014890843382944238
75,702.956170,0.014583484618089461
76,709.054564,0.013260682688800667
77,709.093411,0.012998177334988608
78,710.014208,0.012696790976650555
79,703.648913,0.013366883601754533
80,701.205519,0.013950345839966464
81,704.878504,0.014389383036333093
82,705.144430,0.014698858564781441
83,705.286776,0.013435113381785739
84,694.269537,0.014212288637893948
85,694.259536,0.014709122048012195
86,690.663127,0.014416055877561484
87,695.068776,0.014533796003668480
88,691.172701,0.015446368939122932
89,689.386877,0.014358519791810166
90,686.832574,0.013173452797004036
91,689.639210,0.014343509190144255
92,684.634282,0.015556627384618476
93,685.687596,0.016052445846528037
94,681.280762,0.015614240816864144
95,680.578166,0.015601027911363504
96,680.972680,0.015861817069925566
97,677.761019,0.016091753123225895
98,679.601308,0.014227437508651916
99,681.018791,0.013807054415147046
100,680.626647,0.014992054052221820
101,676.925105,0.013806725596227341
102,668.359638,0.014099301120826023
103,664.485682,0.014015377446397494
104,668.639403,0.014470231487494729
105,666.593078,0.015936454739953611
106,664.614568,0.016634438074567277
107,668.066516,0.017181328038332732
108,667.828786,0.017130952345458802
