Burn-in phase called as ending in generation 743
Individual, Wi
1,0.600427
2,0.661541
3,0.566896
4,0.617016
5,0.514401
6,0.565325
7,0.680782
8,0.622282
9,0.631123
10,0.659573
11,0.638156
12,0.489185
13,0.585508
14,0.597205
15,0.606921
16,0.629492
17,0.616587
18,0.657633
19,0.620752
20,0.515868
21,0.674022
22,0.642953
23,0.616985
24,0.554213
25,0.567003
26,0.638068
27,0.695011
28,0.684869
29,0.482392
30,0.602236
31,0.616586
32,0.707936
33,0.596658
34,0.622112
35,0.644450
36,0.669808
37,0.507413
38,0.529204
39,0.649205
40,0.584705
41,0.658252
42,0.535403
43,0.572401
44,0.572143
45,0.686453
46,0.678027
47,0.601394
48,0.543302
49,0.608617
50,0.547943
51,0.657481
52,0.561156
53,0.633771
54,0.587975
55,0.571559
56,0.609309
57,0.491708
58,0.652752
59,0.487160
60,0.658504
61,0.628614
62,0.593788
63,0.616358
64,0.613141
65,0.600588
66,0.537932
67,0.597907
68,0.628238
69,0.695186
70,0.538732
71,0.450462
72,0.577157
73,0.616584
74,0.616077
75,0.638753
76,0.641994
77,0.569960
78,0.532149
79,0.560157
80,0.550739
81,0.593249
82,0.626729
83,0.607140
84,0.604066
85,0.493107
86,0.474376
87,0.675780
88,0.596834
89,0.644899
90,0.673830
91,0.538071
92,0.547732
93,0.648621
94,0.637173
95,0.535913
96,0.681572
97,0.587538
98,0.618949
99,0.536213
100,0.560752
101,0.647761
102,0.518625
103,0.689336
104,0.589440
105,0.622745
106,0.542547
107,0.440562
108,0.626266
109,0.638528
110,0.615172
111,0.614629
112,0.777824
113,0.571419
114,0.742928
115,0.596952
116,0.571469
117,0.601820
118,0.679053
119,0.618374
120,0.459852
121,0.454489
122,0.498585
123,0.652377
124,0.522211
125,0.692100
126,0.434529
127,0.605957
128,0.591936
129,0.566614
130,0.665087
131,0.620718
132,0.632280
133,0.646502
134,0.747916
135,0.698705
136,0.635615
137,0.652716
138,0.588592
139,0.555276
140,0.588596
141,0.591868
142,0.628715
143,0.585391
144,0.581179
145,0.655513
146,0.689321
147,0.560358
148,0.659930
149,0.603830
150,0.689843
151,0.607569
152,0.612326
153,0.565688
154,0.628736
155,0.567213
156,0.535963
157,0.659643
158,0.578186
159,0.517398
160,0.475373
161,0.512995
162,0.656311
163,0.616567
164,0.646200
165,0.619577
166,0.684755
167,0.569518
168,0.664414
169,0.485667
170,0.555996
171,0.602229
172,0.559126
173,0.564142
174,0.688426
175,0.493089
176,0.494629
177,0.533756
178,0.447849
179,0.644589
180,0.515643
181,0.589462
182,0.612808
183,0.577227
184,0.664092
185,0.697091
186,0.605169
187,0.648566
188,0.535837
189,0.663604
190,0.429081
191,0.645424
192,0.435843
193,0.603180
194,0.619604
195,0.612930
196,0.528672
197,0.602108
198,0.628192
199,0.606818
200,0.530308
201,0.483338
202,0.566454
203,0.528359
204,0.653170
205,0.550330
206,0.599772
207,0.587671
208,0.686573
209,0.609436
210,0.613951
211,0.664391
212,0.552076
213,0.685976
214,0.639121
215,0.681123
216,0.599863
217,0.701499
218,0.516535
219,0.469981
220,0.582190
221,0.598453
222,0.539950
223,0.726582
224,0.582341
225,0.690539
226,0.615645
227,0.592757
228,0.594224
229,0.643876
230,0.619699
231,0.610238
232,0.608957
233,0.594947
234,0.623375
235,0.718827
236,0.684251
237,0.558822
238,0.552287
239,0.651983
240,0.654348
241,0.710983
242,0.711897
243,0.620440
244,0.650585
245,0.517596
246,0.694344
247,0.630580
248,0.567965
249,0.634003
250,0.694354
251,0.594144
252,0.567481
253,0.592276
254,0.531151
255,0.656255
256,0.500230
257,0.586900
258,0.683759
259,0.648735
260,0.652492
261,0.728500
262,0.640316
263,0.597425
264,0.584551
265,0.381658
266,0.605521
267,0.593855
268,0.573058
269,0.643649
270,0.551670
271,0.531404
272,0.697342
273,0.694596
274,0.626258
275,0.663265
276,0.678020
277,0.612641
278,0.660645
279,0.460764
280,0.628977
281,0.690146
282,0.688764
283,0.603555
284,0.593462
285,0.623433
286,0.608389
287,0.530236
288,0.634231
289,0.541047
290,0.651476
291,0.644793
292,0.637806
293,0.596579
294,0.536463
295,0.600390
296,0.717127
297,0.581315
298,0.644092
299,0.611970
300,0.656603
301,0.614825
302,0.415161
303,0.564075
304,0.543050
305,0.619485
306,0.519368
307,0.521914
308,0.574273
309,0.595338
310,0.601901
311,0.568978
312,0.725301
313,0.681542
314,0.465990
315,0.565362
316,0.527485
317,0.634710
318,0.663092
319,0.544291
320,0.645556
321,0.604864
322,0.669484
323,0.680158
324,0.542587
325,0.714049
326,0.577774
327,0.535934
328,0.710844
329,0.669073
330,0.674300
331,0.522481
332,0.637538
333,0.557469
334,0.673664
335,0.514119
336,0.632052
337,0.657346
338,0.620648
339,0.602508
340,0.599876
341,0.582790
342,0.471160
343,0.625529
344,0.565807
345,0.615730
346,0.629566
347,0.482162
348,0.700230
349,0.666211
350,0.449540
351,0.756585
352,0.583341
353,0.565209
354,0.656094
355,0.438699
356,0.649188
357,0.566646
358,0.605468
359,0.562859
360,0.584624
361,0.608032
362,0.691914
363,0.596250
364,0.647057
365,0.522400
366,0.517615
367,0.694597
368,0.696336
369,0.572212
370,0.545112
371,0.624337
372,0.638433
373,0.707564
374,0.618317
375,0.546687
376,0.540203
377,0.514735
378,0.624397
379,0.631175
380,0.659342
381,0.537739
382,0.716994
383,0.551715
384,0.649423
385,0.657691
386,0.649641
387,0.578904
388,0.586936
389,0.508376
390,0.579771
391,0.737496
392,0.698205
393,0.475767
394,0.554459
395,0.632245
396,0.650903
397,0.577305
398,0.544427
399,0.648898
400,0.628018
401,0.544242
402,0.473040
403,0.756369
404,0.561247
405,0.513639
406,0.662706
407,0.549008
408,0.615443
409,0.628612
410,0.590568
411,0.589255
412,0.639477
413,0.612803
414,0.600371
415,0.597063
416,0.500171
417,0.649632
418,0.515335
419,0.530308
420,0.612234
421,0.398008
422,0.555974
423,0.542884
424,0.547687
425,0.542398
426,0.629965
427,0.596084
428,0.544766
429,0.561339
430,0.619295
431,0.682393
432,0.505626
433,0.563199
434,0.541547
435,0.586483
436,0.498634
437,0.606688
438,0.647148
439,0.371104
440,0.547607
441,0.680342
