Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1243, 0 generations after burn-in, is: -0.544295
log average fitness in generation 1244, 1 generations after burn-in, is: -0.536813
log average fitness in generation 1245, 2 generations after burn-in, is: -0.530460
log average fitness in generation 1246, 3 generations after burn-in, is: -0.532473
log average fitness in generation 1247, 4 generations after burn-in, is: -0.530669
log average fitness in generation 1248, 5 generations after burn-in, is: -0.530046
log average fitness in generation 1249, 6 generations after burn-in, is: -0.530017
log average fitness in generation 1250, 7 generations after burn-in, is: -0.540492
log average fitness in generation 1251, 8 generations after burn-in, is: -0.541397
log average fitness in generation 1252, 9 generations after burn-in, is: -0.539062
log average fitness in generation 1253, 10 generations after burn-in, is: -0.539772
log average fitness in generation 1254, 11 generations after burn-in, is: -0.541592
log average fitness in generation 1255, 12 generations after burn-in, is: -0.546782
log average fitness in generation 1256, 13 generations after burn-in, is: -0.548008
log average fitness in generation 1257, 14 generations after burn-in, is: -0.550851
log average fitness in generation 1258, 15 generations after burn-in, is: -0.555032
log average fitness in generation 1259, 16 generations after burn-in, is: -0.549164
log average fitness in generation 1260, 17 generations after burn-in, is: -0.545709
log average fitness in generation 1261, 18 generations after burn-in, is: -0.554612
log average fitness in generation 1262, 19 generations after burn-in, is: -0.564332
log average fitness in generation 1263, 20 generations after burn-in, is: -0.554226
log average fitness in generation 1264, 21 generations after burn-in, is: -0.542288
log average fitness in generation 1265, 22 generations after burn-in, is: -0.542210
log average fitness in generation 1266, 23 generations after burn-in, is: -0.537007
log average fitness in generation 1267, 24 generations after burn-in, is: -0.550079
log average fitness in generation 1268, 25 generations after burn-in, is: -0.544433
log average fitness in generation 1269, 26 generations after burn-in, is: -0.539509
log average fitness in generation 1270, 27 generations after burn-in, is: -0.536912
log average fitness in generation 1271, 28 generations after burn-in, is: -0.537572
log average fitness in generation 1272, 29 generations after burn-in, is: -0.528808
log average fitness in generation 1273, 30 generations after burn-in, is: -0.534247
log average fitness in generation 1274, 31 generations after burn-in, is: -0.530791
log average fitness in generation 1275, 32 generations after burn-in, is: -0.531557
log average fitness in generation 1276, 33 generations after burn-in, is: -0.527842
log average fitness in generation 1277, 34 generations after burn-in, is: -0.520760
log average fitness in generation 1278, 35 generations after burn-in, is: -0.525386
log average fitness in generation 1279, 36 generations after burn-in, is: -0.515246
log average fitness in generation 1280, 37 generations after burn-in, is: -0.516317
log average fitness in generation 1281, 38 generations after burn-in, is: -0.518776
log average fitness in generation 1282, 39 generations after burn-in, is: -0.526205
log average fitness in generation 1283, 40 generations after burn-in, is: -0.523185
log average fitness in generation 1284, 41 generations after burn-in, is: -0.521525
log average fitness in generation 1285, 42 generations after burn-in, is: -0.521072
log average fitness in generation 1286, 43 generations after burn-in, is: -0.526190
log average fitness in generation 1287, 44 generations after burn-in, is: -0.531885
log average fitness in generation 1288, 45 generations after burn-in, is: -0.528838
log average fitness in generation 1289, 46 generations after burn-in, is: -0.527189
log average fitness in generation 1290, 47 generations after burn-in, is: -0.519636
log average fitness in generation 1291, 48 generations after burn-in, is: -0.516624
log average fitness in generation 1292, 49 generations after burn-in, is: -0.517897
log average fitness in generation 1293, 50 generations after burn-in, is: -0.521421
log average fitness in generation 1294, 51 generations after burn-in, is: -0.514468
log average fitness in generation 1295, 52 generations after burn-in, is: -0.518866
log average fitness in generation 1296, 53 generations after burn-in, is: -0.518425
log average fitness in generation 1297, 54 generations after burn-in, is: -0.514794
log average fitness in generation 1298, 55 generations after burn-in, is: -0.519802
log average fitness in generation 1299, 56 generations after burn-in, is: -0.514692
log average fitness in generation 1300, 57 generations after burn-in, is: -0.516724
log average fitness in generation 1301, 58 generations after burn-in, is: -0.517338
log average fitness in generation 1302, 59 generations after burn-in, is: -0.516104
log average fitness in generation 1303, 60 generations after burn-in, is: -0.519881
log average fitness in generation 1304, 61 generations after burn-in, is: -0.528122
log average fitness in generation 1305, 62 generations after burn-in, is: -0.519059
log average fitness in generation 1306, 63 generations after burn-in, is: -0.519699
log average fitness in generation 1307, 64 generations after burn-in, is: -0.525691
log average fitness in generation 1308, 65 generations after burn-in, is: -0.512116
log average fitness in generation 1309, 66 generations after burn-in, is: -0.520326
log average fitness in generation 1310, 67 generations after burn-in, is: -0.514314
log average fitness in generation 1311, 68 generations after burn-in, is: -0.522543
log average fitness in generation 1312, 69 generations after burn-in, is: -0.526056
log average fitness in generation 1313, 70 generations after burn-in, is: -0.528993
log average fitness in generation 1314, 71 generations after burn-in, is: -0.529286
log average fitness in generation 1315, 72 generations after burn-in, is: -0.528859
log average fitness in generation 1316, 73 generations after burn-in, is: -0.526759
log average fitness in generation 1317, 74 generations after burn-in, is: -0.525703
log average fitness in generation 1318, 75 generations after burn-in, is: -0.529810
log average fitness in generation 1319, 76 generations after burn-in, is: -0.544614
log average fitness in generation 1320, 77 generations after burn-in, is: -0.542546
log average fitness in generation 1321, 78 generations after burn-in, is: -0.549582
log average fitness in generation 1322, 79 generations after burn-in, is: -0.549827
log average fitness in generation 1323, 80 generations after burn-in, is: -0.560355
log average fitness in generation 1324, 81 generations after burn-in, is: -0.561141
log average fitness in generation 1325, 82 generations after burn-in, is: -0.564418
log average fitness in generation 1326, 83 generations after burn-in, is: -0.568776
log average fitness in generation 1327, 84 generations after burn-in, is: -0.570468
log average fitness in generation 1328, 85 generations after burn-in, is: -0.572394
log average fitness in generation 1329, 86 generations after burn-in, is: -0.571608
log average fitness in generation 1330, 87 generations after burn-in, is: -0.567774
log average fitness in generation 1331, 88 generations after burn-in, is: -0.568430
log average fitness in generation 1332, 89 generations after burn-in, is: -0.569793
log average fitness in generation 1333, 90 generations after burn-in, is: -0.570152
log average fitness in generation 1334, 91 generations after burn-in, is: -0.568118
log average fitness in generation 1335, 92 generations after burn-in, is: -0.564757
log average fitness in generation 1336, 93 generations after burn-in, is: -0.566787
log average fitness in generation 1337, 94 generations after burn-in, is: -0.569156
log average fitness in generation 1338, 95 generations after burn-in, is: -0.562042
log average fitness in generation 1339, 96 generations after burn-in, is: -0.557696
log average fitness in generation 1340, 97 generations after burn-in, is: -0.558372
log average fitness in generation 1341, 98 generations after burn-in, is: -0.571884
log average fitness in generation 1342, 99 generations after burn-in, is: -0.569096
log average fitness in generation 1343, 100 generations after burn-in, is: -0.562321
log average fitness in generation 1344, 101 generations after burn-in, is: -0.561036
log average fitness in generation 1345, 102 generations after burn-in, is: -0.552501
log average fitness in generation 1346, 103 generations after burn-in, is: -0.556005
log average fitness in generation 1347, 104 generations after burn-in, is: -0.552781
log average fitness in generation 1348, 105 generations after burn-in, is: -0.559056
log average fitness in generation 1349, 106 generations after burn-in, is: -0.555217
log average fitness in generation 1350, 107 generations after burn-in, is: -0.554845
log average fitness in generation 1351, 108 generations after burn-in, is: -0.552571
log average fitness in generation 1352, 109 generations after burn-in, is: -0.555656
log average fitness in generation 1353, 110 generations after burn-in, is: -0.544080
log average fitness in generation 1354, 111 generations after burn-in, is: -0.541911
log average fitness in generation 1355, 112 generations after burn-in, is: -0.534329
log average fitness in generation 1356, 113 generations after burn-in, is: -0.536750
log average fitness in generation 1357, 114 generations after burn-in, is: -0.533988
log average fitness in generation 1358, 115 generations after burn-in, is: -0.532221
log average fitness in generation 1359, 116 generations after burn-in, is: -0.535511
log average fitness in generation 1360, 117 generations after burn-in, is: -0.530818
log average fitness in generation 1361, 118 generations after burn-in, is: -0.529483
log average fitness in generation 1362, 119 generations after burn-in, is: -0.527689
log average fitness in generation 1363, 120 generations after burn-in, is: -0.521933
log average fitness in generation 1364, 121 generations after burn-in, is: -0.531569
log average fitness in generation 1365, 122 generations after burn-in, is: -0.527192
log average fitness in generation 1366, 123 generations after burn-in, is: -0.529525
log average fitness in generation 1367, 124 generations after burn-in, is: -0.536044
log average fitness in generation 1368, 125 generations after burn-in, is: -0.531145
log average fitness in generation 1369, 126 generations after burn-in, is: -0.532751
log average fitness in generation 1370, 127 generations after burn-in, is: -0.534044
log average fitness in generation 1371, 128 generations after burn-in, is: -0.534192
log average fitness in generation 1372, 129 generations after burn-in, is: -0.542892
log average fitness in generation 1373, 130 generations after burn-in, is: -0.541211
log average fitness in generation 1374, 131 generations after burn-in, is: -0.539506
log average fitness in generation 1375, 132 generations after burn-in, is: -0.543199
log average fitness in generation 1376, 133 generations after burn-in, is: -0.539432
log average fitness in generation 1377, 134 generations after burn-in, is: -0.539415
log average fitness in generation 1378, 135 generations after burn-in, is: -0.533536
log average fitness in generation 1379, 136 generations after burn-in, is: -0.520309
log average fitness in generation 1380, 137 generations after burn-in, is: -0.527411
log average fitness in generation 1381, 138 generations after burn-in, is: -0.534510
log average fitness in generation 1382, 139 generations after burn-in, is: -0.531780
