Burn-in phase called as ending in generation 348
Individual, Wi
1,0.000001
2,0.000001
3,0.000001
4,0.000001
5,0.000001
6,0.000001
7,0.000001
8,0.000000
9,0.000001
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000001
15,0.000001
16,0.000001
17,0.000001
18,0.000000
19,0.000001
20,0.000000
21,0.000001
22,0.000001
23,0.000001
24,0.000001
25,0.000001
26,0.000000
27,0.000000
28,0.000001
29,0.000000
30,0.000001
31,0.000001
32,0.000000
33,0.000000
34,0.000000
35,0.000001
36,0.000000
37,0.000000
38,0.000001
39,0.000000
40,0.000000
41,0.000001
42,0.000001
43,0.000001
44,0.000001
45,0.000001
46,0.000001
47,0.000000
48,0.000001
49,0.000001
50,0.000000
51,0.000000
52,0.000001
53,0.000001
54,0.000000
55,0.000001
56,0.000000
57,0.000001
58,0.000001
59,0.000000
60,0.000001
61,0.000001
62,0.000000
63,0.000001
64,0.000000
65,0.000000
66,0.000000
67,0.000001
68,0.000000
69,0.000001
70,0.000001
71,0.000000
72,0.000000
73,0.000000
74,0.000001
75,0.000000
76,0.000001
77,0.000002
78,0.000001
79,0.000000
80,0.000000
81,0.000001
82,0.000001
83,0.000001
84,0.000000
85,0.000001
86,0.000000
87,0.000000
88,0.000001
89,0.000000
90,0.000001
91,0.000001
92,0.000000
93,0.000001
94,0.000000
95,0.000000
96,0.000001
97,0.000000
98,0.000001
99,0.000001
100,0.000001
101,0.000001
102,0.000001
103,0.000001
104,0.000001
105,0.000001
106,0.000001
107,0.000001
108,0.000001
109,0.000001
110,0.000000
111,0.000000
112,0.000001
113,0.000000
114,0.000000
115,0.000001
116,0.000001
117,0.000000
118,0.000001
119,0.000001
120,0.000000
121,0.000000
122,0.000001
123,0.000001
124,0.000001
125,0.000000
126,0.000000
127,0.000001
128,0.000001
129,0.000001
130,0.000001
131,0.000000
132,0.000001
133,0.000000
134,0.000001
135,0.000001
136,0.000000
137,0.000000
138,0.000000
139,0.000002
140,0.000001
141,0.000000
142,0.000001
143,0.000000
144,0.000001
145,0.000001
146,0.000001
147,0.000000
148,0.000001
149,0.000001
150,0.000000
151,0.000001
152,0.000001
153,0.000000
154,0.000000
155,0.000001
156,0.000001
157,0.000001
158,0.000001
159,0.000004
160,0.000000
161,0.000001
162,0.000001
163,0.000000
164,0.000000
165,0.000000
166,0.000001
167,0.000001
168,0.000001
169,0.000002
170,0.000001
171,0.000001
172,0.000000
173,0.000001
174,0.000000
175,0.000001
176,0.000001
177,0.000000
178,0.000003
179,0.000001
180,0.000001
181,0.000000
182,0.000001
183,0.000001
184,0.000000
185,0.000001
186,0.000000
187,0.000000
188,0.000001
189,0.000001
190,0.000000
191,0.000001
192,0.000000
193,0.000001
194,0.000001
195,0.000000
196,0.000000
197,0.000000
198,0.000001
199,0.000000
200,0.000001
201,0.000001
202,0.000001
203,0.000000
204,0.000000
205,0.000000
206,0.000001
207,0.000000
208,0.000000
209,0.000001
210,0.000001
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.000001
216,0.000000
217,0.000000
218,0.000001
219,0.000001
220,0.000001
221,0.000001
222,0.000001
223,0.000000
224,0.000001
225,0.000001
226,0.000001
227,0.000000
228,0.000001
229,0.000000
230,0.000001
231,0.000001
232,0.000000
233,0.000001
234,0.000001
235,0.000001
236,0.000000
237,0.000000
238,0.000000
239,0.000001
240,0.000001
241,0.000001
242,0.000001
243,0.000000
244,0.000001
