Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1052, 0 generations after burn-in, is: -1.054077
log average fitness in generation 1053, 1 generations after burn-in, is: -1.061335
log average fitness in generation 1054, 2 generations after burn-in, is: -1.045956
log average fitness in generation 1055, 3 generations after burn-in, is: -1.048926
log average fitness in generation 1056, 4 generations after burn-in, is: -1.037102
log average fitness in generation 1057, 5 generations after burn-in, is: -1.028250
log average fitness in generation 1058, 6 generations after burn-in, is: -1.036065
log average fitness in generation 1059, 7 generations after burn-in, is: -1.033887
log average fitness in generation 1060, 8 generations after burn-in, is: -1.038109
log average fitness in generation 1061, 9 generations after burn-in, is: -1.032501
log average fitness in generation 1062, 10 generations after burn-in, is: -1.042126
log average fitness in generation 1063, 11 generations after burn-in, is: -1.046101
log average fitness in generation 1064, 12 generations after burn-in, is: -1.055676
log average fitness in generation 1065, 13 generations after burn-in, is: -1.064656
log average fitness in generation 1066, 14 generations after burn-in, is: -1.061949
log average fitness in generation 1067, 15 generations after burn-in, is: -1.056496
log average fitness in generation 1068, 16 generations after burn-in, is: -1.054580
log average fitness in generation 1069, 17 generations after burn-in, is: -1.065271
log average fitness in generation 1070, 18 generations after burn-in, is: -1.070060
log average fitness in generation 1071, 19 generations after burn-in, is: -1.050708
log average fitness in generation 1072, 20 generations after burn-in, is: -1.054411
log average fitness in generation 1073, 21 generations after burn-in, is: -1.037794
log average fitness in generation 1074, 22 generations after burn-in, is: -1.033300
log average fitness in generation 1075, 23 generations after burn-in, is: -1.029818
log average fitness in generation 1076, 24 generations after burn-in, is: -1.021271
log average fitness in generation 1077, 25 generations after burn-in, is: -1.025826
log average fitness in generation 1078, 26 generations after burn-in, is: -1.031095
log average fitness in generation 1079, 27 generations after burn-in, is: -1.030490
log average fitness in generation 1080, 28 generations after burn-in, is: -1.036936
log average fitness in generation 1081, 29 generations after burn-in, is: -1.022098
log average fitness in generation 1082, 30 generations after burn-in, is: -1.021312
log average fitness in generation 1083, 31 generations after burn-in, is: -1.012424
log average fitness in generation 1084, 32 generations after burn-in, is: -1.020758
log average fitness in generation 1085, 33 generations after burn-in, is: -1.014204
log average fitness in generation 1086, 34 generations after burn-in, is: -1.016407
log average fitness in generation 1087, 35 generations after burn-in, is: -1.015453
log average fitness in generation 1088, 36 generations after burn-in, is: -1.020957
log average fitness in generation 1089, 37 generations after burn-in, is: -1.020168
log average fitness in generation 1090, 38 generations after burn-in, is: -1.022321
log average fitness in generation 1091, 39 generations after burn-in, is: -1.025524
log average fitness in generation 1092, 40 generations after burn-in, is: -1.030171
log average fitness in generation 1093, 41 generations after burn-in, is: -1.022460
log average fitness in generation 1094, 42 generations after burn-in, is: -1.025939
log average fitness in generation 1095, 43 generations after burn-in, is: -1.025307
log average fitness in generation 1096, 44 generations after burn-in, is: -1.010743
log average fitness in generation 1097, 45 generations after burn-in, is: -1.015170
log average fitness in generation 1098, 46 generations after burn-in, is: -1.012157
