Nxtimesteps,Sum.of.wis,Variance.in.log.fitness
1,946.986275,0.006256269591325391
2,901.488016,0.011498726683490007
3,860.232798,0.012969473541752779
4,827.924870,0.014614056495291305
5,795.733413,0.018017436993991498
6,760.887179,0.019528058214680864
7,732.281742,0.020075520015483430
8,709.688784,0.024293979601074739
9,686.699383,0.024623632188415994
10,657.662215,0.023862748763124476
11,635.665261,0.025049679623698466
12,615.831348,0.030167876501150243
13,596.124480,0.030153029780796915
14,574.977033,0.032138216400195645
15,549.368208,0.035059703345202628
16,535.987731,0.035123245111950079
17,516.481322,0.036293470071878532
18,503.256102,0.040034846061043176
19,495.263452,0.041895476926062394
20,482.425677,0.044191559278280862
21,473.080633,0.043286485053943835
22,470.162179,0.044602338649086651
23,459.313842,0.040523842592812671
24,454.806534,0.037154020488343244
25,449.013236,0.039793505947820135
26,439.110894,0.043148654854616088
27,429.961760,0.044107254213328333
28,420.423797,0.046252021835570208
29,413.835106,0.051195297183861788
30,399.948447,0.047364435765002863
31,392.044563,0.049766087199253586
32,386.117981,0.045474099390880124
33,384.178569,0.044747144609230148
34,375.985662,0.047802734692009172
35,364.937511,0.044158379677369193
36,358.562625,0.047814857980518773
37,353.041563,0.046016403334811572
38,348.068880,0.044962215894432098
39,343.378113,0.050155886274101211
40,338.235864,0.050367496625429851
41,330.206150,0.046694210293594135
42,321.212693,0.049096276025232977
43,320.148304,0.048212818159610031
44,316.525351,0.050720787420201710
45,317.847383,0.051809684460246405
46,315.635162,0.049686447492214722
47,315.162101,0.052158101852680799
48,312.648191,0.052994145918695605
49,308.978567,0.050806663629965040
50,301.632484,0.053120995008886583
51,299.107146,0.045439913533896044
52,293.918386,0.049302529215298693
53,293.315403,0.054873984963281816
54,289.714708,0.053807831917374198
55,291.044546,0.057374792922303616
56,293.592729,0.055988074285445097
57,291.214673,0.056250547640172788
58,290.374691,0.057989780315234794
59,286.171423,0.054366198924841520
60,288.976286,0.047729306950176235
61,287.384461,0.049575333790097639
62,285.657627,0.049593823711236530
63,284.593431,0.050684283271652281
64,280.485109,0.048904129956988902
65,275.963693,0.050689666807808197
66,273.774655,0.051910574031871499
67,270.216083,0.051921951982939141
68,269.832129,0.053255388703132192
69,267.587554,0.059391501933360492
70,261.202887,0.057901747234270239
71,264.814588,0.059744929907346561
72,267.171087,0.058410015899853750
73,265.369600,0.059129538922703909
74,266.506275,0.058016839666718806
75,264.515334,0.057294639506924816
76,266.104332,0.058224897338024030
77,265.352634,0.058156271797599732
78,263.823237,0.051128270749494387
79,259.876331,0.054089097047593904
80,257.670571,0.052447882208705901
81,254.600295,0.050807020996115143
82,249.831694,0.054688843006484286
83,248.234845,0.054996173149667892
84,245.683154,0.053407353331361498
85,247.014690,0.058854819217937109
86,243.262321,0.055473090986315955
87,241.552132,0.059674570394347780
88,244.742485,0.060126962982714471
89,237.971117,0.054351648687682733
90,234.495636,0.055504089269034398
91,234.243560,0.056208739243332653
92,233.727404,0.058844898011013121
93,231.505799,0.063292838113880909
94,233.099692,0.060388878213934960
95,232.464975,0.058689728002122424
96,233.893780,0.060406080904117726
97,231.888265,0.057232226528944240
98,232.054685,0.057327957702681807
99,232.542216,0.059360479916890120
100,233.573516,0.061122834000861291
101,228.999556,0.065524225597296051
102,227.877269,0.062972746254882375
103,225.620939,0.063613719179534373
104,226.457627,0.063954511730783398
105,223.580385,0.063440555476265439
106,221.833759,0.064144101533287701
107,218.647065,0.064431261586859689
108,219.429895,0.064195487507858084
109,217.915960,0.062598349225095537
110,218.719322,0.062197482252028570
111,217.970685,0.060459554650942417
112,216.238022,0.060391839986636664
113,213.804169,0.058687221834950960
114,212.490319,0.056577402607205646
115,212.904224,0.062369009675571331
116,214.420688,0.063105084309405521
117,211.393909,0.055072959505650929
118,211.640625,0.053421952074361546
119,211.750437,0.053954403386372203
120,206.899588,0.059095443384752068
121,208.490878,0.064135670713800566
122,204.319634,0.065979304296087490
123,207.154746,0.063162519444958334
124,207.927089,0.064050544677286395
125,207.000425,0.056133009821510989
126,209.593882,0.060564839365675180
127,209.401895,0.058583989124137759
128,206.773055,0.055413859179825477
129,203.277727,0.060467431064649531
130,200.962227,0.060143469480958618
131,196.459411,0.061089295870310895
132,190.967404,0.058591435905214206
133,193.164906,0.062023234411945460
134,193.882040,0.060843314917651464
135,194.007870,0.060468932612396803
136,196.204823,0.062818493059110664
137,194.408700,0.062630405983371523
138,195.302968,0.061311959643523858
139,194.424531,0.058322611989937954
140,195.203077,0.055318596291049210
141,193.966485,0.058216322433194516
142,197.090738,0.064754663770792378
143,195.059104,0.062985419799842554
144,196.891513,0.062734854074980209
145,195.868792,0.063067629999826347
146,198.673399,0.060256891757708791
147,197.840926,0.059022157237640170
148,195.808854,0.056391207686661060
149,191.074973,0.063426327772203972
150,190.439317,0.061689719023946085
151,192.266845,0.059705786040952023
152,192.670951,0.063117619463283883
153,193.858059,0.063875133101318912
154,194.530945,0.065086384972444719
155,191.863903,0.060635268665082301
156,194.430798,0.059080501565735730
157,194.432152,0.060814837164831589
158,195.169216,0.062544710885716795
159,191.668424,0.056443580861523693
160,194.257500,0.052831602975133882
161,192.086823,0.055367603896052768
162,192.326077,0.055204201435820978
163,188.476787,0.057540329883574569
164,186.117115,0.061068935763799320
165,188.944368,0.062649624827406880
166,190.298444,0.060049313329816355
167,187.982127,0.058491269045612929
168,190.139878,0.061022940560816245
169,190.229111,0.064804826937576360
170,189.220122,0.061657015696767140
171,188.461760,0.056748967848157160
172,186.076817,0.053993422672068199
173,183.359107,0.054865074501230196
174,181.841511,0.056418521863176196
175,183.578956,0.059602276968505175
176,181.963304,0.058603219791165999
177,181.954183,0.059361442172922337
178,180.386513,0.064459538415386347
179,178.594244,0.064777509553222076
180,174.844088,0.062905518117148868
181,175.103864,0.060966411629476705
182,173.954479,0.056367351402957594
183,172.182237,0.056685018172357327
184,172.137906,0.056763598863107612
185,172.349427,0.062591172867940789
186,172.074805,0.061748084358878033
187,176.914508,0.064857883239499259
188,177.076550,0.066087194197374216
189,175.995784,0.066525083718811245
190,176.217365,0.065464116326688457
191,174.552575,0.062850619367649185
192,173.762590,0.065281371078790923
193,175.946329,0.062396620174001521
194,177.923617,0.062369209118817617
195,177.808243,0.060643814327940380
196,174.334911,0.063065014091832405
197,172.520774,0.056471962046068358
198,171.378743,0.053397783079940454
199,171.945779,0.054256340963009055
200,172.713006,0.060698882246446755
201,174.575230,0.064659645931487528
202,172.929834,0.071912982863893610
203,173.093342,0.063021289868407979
204,173.690924,0.061984975165156657
205,172.360835,0.057827378932561437
206,171.458310,0.056583671612436874
207,172.365623,0.056077692668523867
208,171.840517,0.055618517468187086
209,171.345580,0.056584030014379949
210,168.870724,0.061322118792958909
211,167.192789,0.062140505566897264
212,167.299063,0.063161623474491529
213,166.221891,0.066933560630382485
214,167.796391,0.061055014593023489
215,169.037732,0.061970711085446210
216,167.796853,0.062163096160154203
217,170.199194,0.065388258299085456
218,169.502294,0.063163953876174836
219,168.332700,0.059803874279942194
220,168.429195,0.058371096662154065
221,172.272731,0.052816058356851631
222,171.197495,0.054065886562634315
223,170.464303,0.055693072171178429
224,170.379229,0.064209351548743313
225,170.556113,0.065802028071098931
226,170.358686,0.064493156527291401
227,165.855783,0.059980395441354702
228,165.166187,0.056778531363271677
229,169.030133,0.061762703314831593
230,168.351686,0.059344945336676322
231,167.984178,0.059442905410351021
232,168.070606,0.060943888311927083
233,168.791735,0.062003353723711657
234,168.739090,0.058094106558024244
235,167.857793,0.055599440958852858
236,167.609956,0.060542117087624935
237,168.210593,0.056868936839699478
238,169.146371,0.059606030840176481
239,165.744815,0.057791826061407085
240,165.150870,0.057622555916042498
241,166.056054,0.061446812451074140
242,169.382486,0.060052608824145384
243,167.217503,0.061766357026384583
244,169.371169,0.059043086841302703
245,168.237805,0.060383136315990314
246,166.911703,0.057664458966692048
247,170.806363,0.058446943289153175
248,168.354455,0.059377220747834629
249,167.320519,0.066816454099096090
250,168.424554,0.058793970767591873
251,168.073339,0.057814646129450045
252,165.742503,0.063665186094781459
253,167.846277,0.066727716508426724
254,169.557195,0.065407506587596184
255,171.705837,0.063853655668961715
256,168.582121,0.063390598357593517
257,169.366365,0.063061745668033770
258,170.765998,0.060695005954369739
259,173.505379,0.056167602907257440
260,169.652593,0.059678732350426908
261,167.826730,0.059083278869508989
262,166.171005,0.057530321020451539
263,162.205431,0.054642630393089010
264,160.965018,0.055955689301725252
265,160.351591,0.059748545423280848
266,162.086385,0.067543289094400077
267,162.356733,0.064863139274836598
268,162.049658,0.060994867356656157
269,159.156133,0.061506584824282118
270,161.187081,0.066320013189424487
271,161.006697,0.064114472815465826
272,163.208402,0.061348698132308657
273,163.274785,0.062686601635034672
274,163.552142,0.055617693758546673
275,162.206901,0.058951878716177790
276,160.855043,0.060862794831399350
277,159.232333,0.058960910386846858
278,158.893131,0.059321795031405687
279,157.390108,0.064146702853161500
280,156.521572,0.060298271704513545
281,156.730964,0.058339067829220763
282,157.612010,0.059056123148523501
283,156.397173,0.053279944123078356
284,152.044404,0.054951690485509692
285,148.970934,0.058405395390300485
286,146.637823,0.057588731803098266
287,148.566118,0.058546899432166601
288,147.985483,0.056519769630887007
289,147.557551,0.062512360989770505
290,145.908370,0.058733199695536302
291,145.725575,0.061079396382728586
292,148.219138,0.057049133081467321
293,149.029634,0.059360548034051525
294,151.074375,0.062470848804867064
295,149.227538,0.069312212363022249
296,150.981387,0.064919249660318645
297,149.594792,0.064946327727907274
298,154.526549,0.068263553894003931
299,157.177465,0.067346682050253959
300,154.291733,0.063017118806144301
301,151.449371,0.058449347253139376
302,152.130903,0.060166432510142163
303,150.424020,0.061881681782134650
304,150.560231,0.062773489874075633
305,148.343140,0.069395829053358352
306,150.423013,0.065922687952375700
307,151.599262,0.067636352175074452
308,151.031755,0.068847267462492451
309,151.592926,0.061947272306929244
310,150.225065,0.062123251324680481
311,149.546524,0.061601086576211786
312,146.401990,0.063031566211388876
313,146.477075,0.058982382439613200
314,144.136224,0.056103433066675014
315,144.464509,0.061584747906558997
316,144.500189,0.055506105392122952
317,142.344573,0.059443261439162440
318,140.287995,0.057586248455593361
319,142.235888,0.060497046110115721
320,142.176785,0.056718552131938223
321,142.153081,0.054795846230028804
322,140.819041,0.056088354709296295
323,140.706899,0.057929475579158750
324,136.760303,0.061395439854570279
325,135.723342,0.065513806655380660
326,137.007340,0.062062437198684935
327,139.201050,0.062573198120097290
328,139.181305,0.061897772013983068
329,137.722735,0.068313638615410066
330,139.664057,0.067731553301821582
331,140.140819,0.063948262952094284
332,135.323596,0.066960052654772312
333,135.946417,0.059322844064111653
334,134.429743,0.061521436227565236
335,132.541950,0.064110210211303725
336,132.392307,0.066441016387958546
337,134.065658,0.072530739272170644
338,132.718242,0.069946147950917206
339,131.523884,0.069524453544219766
340,132.022429,0.071276577043125441
341,132.578895,0.064554882982078760
342,132.988859,0.067064481858682384
343,133.632634,0.066946077609123744
344,134.260100,0.066609374928080112
345,133.368889,0.068262683860738638
346,134.473926,0.068812314477061515
347,135.447788,0.072311236573920509
348,133.261216,0.076597566918702814
349,131.270078,0.072190724332733866
350,134.647371,0.070869552652680842
351,136.758135,0.067714859907086922
352,137.327283,0.061334089645869533
353,136.547052,0.061572215182658721
354,135.827254,0.066599717860953755
355,136.211400,0.062857962356333549
356,136.028633,0.060265154108889073
357,134.769640,0.068537513847472822
358,134.977406,0.067751364115785265
359,138.189867,0.069496950954971937
360,139.132905,0.062670889433767488
361,139.035130,0.058738436945474648
362,138.479037,0.060591748621083318
363,137.020012,0.060662082621307734
364,138.045302,0.060973188647327065
365,140.147111,0.065102174362395224
366,137.872191,0.063298856856609881
367,138.161846,0.062064913898154245
368,135.444629,0.066789920445329942
369,135.776582,0.066163575743209843
370,136.494161,0.064470025777009971
371,137.137281,0.066710162247345620
372,138.194547,0.066535075624808510
373,137.278834,0.059764997374072801
374,136.294455,0.057652663520287500
375,137.213704,0.058435456656896603
376,137.713834,0.054752157418512110
377,135.496666,0.059209995884917432
378,134.786656,0.059039484214815058
379,135.004473,0.062642327648181437
380,135.384658,0.064218578127486409
381,138.889709,0.062422946493641891
382,141.438933,0.066911135891600262
383,141.870406,0.065183469916033715
384,143.325214,0.056876132827512138
385,143.471379,0.053915428885035012
386,142.711360,0.061049335657014397
387,144.096799,0.056963944015925305
388,142.018538,0.056756237395098705
389,140.829304,0.057078878019242510
390,137.198968,0.062462619856304441
391,137.470376,0.060002571980982411
392,135.371881,0.068192386947227845
393,134.534271,0.062810228404044557
394,133.083720,0.065302926184006529
395,132.510307,0.064383214183468804
396,134.917929,0.063357301310829547
397,134.954156,0.061375790492092054
398,132.861871,0.068411011472545483
399,129.729454,0.068446519593259258
400,130.492422,0.069070492271513712
401,132.730892,0.063042390269638135
402,133.759265,0.063900459868100140
403,134.455210,0.066328094936324744
404,135.155181,0.065741679038469905
405,134.353991,0.066968999804491225
406,133.176011,0.063520458858071741
407,132.206641,0.061040067508088831
408,133.927787,0.061602869382196876
409,135.576162,0.070204961922373910
410,133.226968,0.062758268073414947
411,129.389122,0.061942078010081933
412,131.106459,0.066102068178402557
413,130.551601,0.066500908261109742
414,130.071530,0.060624725773888312
415,129.942051,0.061454300551612301
416,130.550090,0.063201166336084538
417,133.012916,0.073720117170475399
418,132.673585,0.064165150109968414
419,133.687221,0.063129404545769360
420,135.486278,0.068982803576008223
421,135.287887,0.065362423533905520
422,135.900728,0.068123415410515351
423,139.272039,0.063454216659588392
424,136.633147,0.063988474272606899
425,135.749832,0.065649440750969387
426,135.407405,0.060362491597944289
427,134.605394,0.066491082186333914
428,135.336041,0.062123384368589316
429,135.184296,0.061712748413948262
430,135.706056,0.061525914391923509
431,135.116636,0.060301941907212317
432,135.844178,0.058482104734892432
433,135.180770,0.061173732202645277
434,134.609517,0.060704457972552382
435,133.176892,0.063050679917633121
436,135.152701,0.062607117035737361
437,133.705084,0.059428032840834144
438,131.611122,0.062313104477627106
439,129.969391,0.062038005926831077
440,129.029672,0.066017988569121180
441,130.947513,0.060679561718750899
442,132.788186,0.063609871635635154
443,132.114323,0.060983513024876132
444,133.744818,0.063443092728271630
445,132.408938,0.059098152486300022
446,136.240019,0.064162789447431867
447,134.049674,0.061342633695643828
448,132.896145,0.062633273235738210
449,133.869195,0.061380659282776848
450,135.127486,0.059456554654541256
451,136.831646,0.060616906804398449
452,137.798910,0.059711958886344264
453,139.357805,0.061871046242551520
