Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 848, 0 generations after burn-in, is: -11.722165
log average fitness in generation 849, 1 generations after burn-in, is: -11.742060
log average fitness in generation 850, 2 generations after burn-in, is: -11.789355
log average fitness in generation 851, 3 generations after burn-in, is: -11.799227
log average fitness in generation 852, 4 generations after burn-in, is: -11.735273
log average fitness in generation 853, 5 generations after burn-in, is: -11.730033
log average fitness in generation 854, 6 generations after burn-in, is: -11.726500
log average fitness in generation 855, 7 generations after burn-in, is: -11.701587
log average fitness in generation 856, 8 generations after burn-in, is: -11.691318
log average fitness in generation 857, 9 generations after burn-in, is: -11.724701
log average fitness in generation 858, 10 generations after burn-in, is: -11.680997
log average fitness in generation 859, 11 generations after burn-in, is: -11.710472
log average fitness in generation 860, 12 generations after burn-in, is: -11.696816
log average fitness in generation 861, 13 generations after burn-in, is: -11.716581
log average fitness in generation 862, 14 generations after burn-in, is: -11.732957
log average fitness in generation 863, 15 generations after burn-in, is: -11.692096
log average fitness in generation 864, 16 generations after burn-in, is: -11.712352
log average fitness in generation 865, 17 generations after burn-in, is: -11.657519
log average fitness in generation 866, 18 generations after burn-in, is: -11.634797
log average fitness in generation 867, 19 generations after burn-in, is: -11.671049
log average fitness in generation 868, 20 generations after burn-in, is: -11.606440
log average fitness in generation 869, 21 generations after burn-in, is: -11.641666
log average fitness in generation 870, 22 generations after burn-in, is: -11.631409
log average fitness in generation 871, 23 generations after burn-in, is: -11.611493
log average fitness in generation 872, 24 generations after burn-in, is: -11.576669
log average fitness in generation 873, 25 generations after burn-in, is: -11.560882
log average fitness in generation 874, 26 generations after burn-in, is: -11.524353
log average fitness in generation 875, 27 generations after burn-in, is: -11.545516
log average fitness in generation 876, 28 generations after burn-in, is: -11.512010
log average fitness in generation 877, 29 generations after burn-in, is: -11.521428
log average fitness in generation 878, 30 generations after burn-in, is: -11.552716
log average fitness in generation 879, 31 generations after burn-in, is: -11.507101
log average fitness in generation 880, 32 generations after burn-in, is: -11.514115
log average fitness in generation 881, 33 generations after burn-in, is: -11.495747
log average fitness in generation 882, 34 generations after burn-in, is: -11.465889
log average fitness in generation 883, 35 generations after burn-in, is: -11.513780
log average fitness in generation 884, 36 generations after burn-in, is: -11.507274
log average fitness in generation 885, 37 generations after burn-in, is: -11.435888
log average fitness in generation 886, 38 generations after burn-in, is: -11.418936
log average fitness in generation 887, 39 generations after burn-in, is: -11.392337
log average fitness in generation 888, 40 generations after burn-in, is: -11.332240
log average fitness in generation 889, 41 generations after burn-in, is: -11.340850
