Burn-in phase called as ending in generation 503
Individual, Wi
1,0.104212
2,0.105322
3,0.104400
4,0.124714
5,0.112516
6,0.143409
7,0.137683
8,0.098139
9,0.121977
10,0.125247
11,0.082703
12,0.070082
13,0.091115
14,0.101328
15,0.078210
16,0.108434
17,0.059848
18,0.105352
19,0.167185
20,0.157768
21,0.083714
22,0.112499
23,0.094235
24,0.081118
25,0.085420
26,0.091985
27,0.095586
28,0.083602
29,0.111796
30,0.088720
31,0.105537
32,0.121173
33,0.111523
34,0.103771
35,0.101814
36,0.105570
37,0.121058
38,0.116065
39,0.122669
40,0.118631
41,0.110568
42,0.148803
43,0.135318
44,0.152180
45,0.083320
46,0.075877
47,0.123829
48,0.060615
49,0.084811
50,0.090737
51,0.062815
52,0.112557
53,0.065427
54,0.128044
55,0.123919
56,0.143964
57,0.146770
58,0.161154
59,0.097910
60,0.096848
61,0.117775
62,0.118224
63,0.094563
64,0.111294
65,0.097690
66,0.090005
67,0.066939
68,0.107064
69,0.141660
70,0.089881
71,0.092487
72,0.129239
73,0.056148
74,0.105855
75,0.121971
76,0.106830
77,0.102824
78,0.092414
79,0.132875
80,0.101489
81,0.074882
82,0.084266
83,0.118143
84,0.093211
85,0.152708
86,0.197133
87,0.070108
88,0.127825
89,0.101309
90,0.131032
91,0.081113
92,0.076897
93,0.074985
94,0.073938
95,0.133324
96,0.095295
97,0.089974
98,0.133697
99,0.128860
100,0.085208
101,0.081792
102,0.127566
103,0.104517
104,0.131900
105,0.111664
106,0.085058
107,0.092965
108,0.096693
109,0.120029
110,0.101153
111,0.107891
112,0.120613
113,0.095072
114,0.093140
115,0.093990
116,0.111397
117,0.110513
118,0.097191
119,0.083561
120,0.106942
121,0.073870
122,0.180243
123,0.094941
124,0.119230
125,0.104055
126,0.171878
127,0.089222
128,0.129520
129,0.107690
130,0.136522
131,0.095754
132,0.112971
133,0.145117
134,0.110684
135,0.089437
136,0.115706
137,0.141511
138,0.102825
139,0.098802
140,0.115220
141,0.130666
142,0.106964
143,0.084994
144,0.096339
145,0.097937
146,0.071443
147,0.115688
148,0.100958
149,0.091148
150,0.125627
151,0.108242
152,0.142134
153,0.079943
154,0.131796
155,0.138429
156,0.128216
157,0.064192
158,0.115447
159,0.093853
160,0.154919
161,0.098079
162,0.127364
163,0.094618
164,0.132615
165,0.103724
166,0.075443
167,0.105789
168,0.111236
169,0.128289
170,0.080496
171,0.156270
172,0.113648
173,0.107784
174,0.084749
175,0.101557
176,0.142280
177,0.141567
178,0.084473
179,0.110218
180,0.128749
181,0.117939
182,0.148065
183,0.133718
184,0.128533
185,0.078907
186,0.152535
187,0.092516
188,0.100220
189,0.150005
190,0.079443
191,0.134853
192,0.127016
193,0.097162
194,0.138445
195,0.139824
196,0.120156
197,0.087014
198,0.101669
199,0.095390
200,0.081355
201,0.102585
202,0.130440
203,0.102106
204,0.142380
205,0.133260
206,0.078305
207,0.134798
208,0.120861
209,0.101971
210,0.188628
211,0.073044
212,0.132094
213,0.104520
214,0.085173
215,0.097821
216,0.101034
217,0.090300
218,0.134072
219,0.098195
220,0.064334
221,0.122966
222,0.067771
223,0.100785
224,0.086525
225,0.128339
226,0.077518
227,0.148410
228,0.071257
229,0.097187
230,0.105562
231,0.153379
232,0.171208
233,0.150739
234,0.121483
235,0.144396
236,0.130539
237,0.067453
238,0.103582
239,0.082254
240,0.108111
241,0.106611
242,0.128845
243,0.112174
244,0.079154
245,0.150521
246,0.149384
247,0.067706
248,0.121191
249,0.090574
250,0.059662
251,0.046451
252,0.099398
253,0.104329
254,0.084948
255,0.111644
256,0.123600
257,0.113440
258,0.143733
259,0.124997
260,0.104314
261,0.128398
262,0.095150
263,0.075923
264,0.111457
265,0.144421
266,0.174591
267,0.109306
268,0.066591
269,0.095704
270,0.132066
271,0.138597
272,0.090983
273,0.119785
274,0.082059
275,0.136255
276,0.107145
277,0.112872
278,0.135126
279,0.081484
280,0.102550
281,0.107529
282,0.102569
283,0.128130
284,0.101862
285,0.091955
286,0.066938
287,0.103360
288,0.096681
289,0.103558
290,0.067313
291,0.097348
292,0.076996
293,0.072072
294,0.124200
295,0.150557
296,0.078639
297,0.076828
298,0.132269
299,0.104985
300,0.200775
301,0.072586
302,0.088600
303,0.164256
304,0.140482
305,0.144161
306,0.085956
307,0.076928
308,0.090903
309,0.125286
310,0.117111
311,0.071808
312,0.137204
313,0.087776
314,0.125123
315,0.131968
316,0.090487
317,0.119744
318,0.126182
319,0.120240
320,0.093309
321,0.119689
322,0.105499
323,0.110830
324,0.145689
325,0.115892
326,0.111489
327,0.147087
328,0.116779
329,0.126000
330,0.091039
331,0.127463
332,0.077454
333,0.099609
334,0.085663
335,0.118628
336,0.143584
337,0.125534
338,0.134666
339,0.083515
340,0.148170
341,0.108195
342,0.144035
343,0.155856
344,0.126224
345,0.093602
346,0.083728
347,0.071274
348,0.089783
349,0.101544
350,0.078011
351,0.105874
352,0.124176
353,0.133158
354,0.102927
355,0.092955
356,0.104017
357,0.099930
358,0.140574
359,0.054273
360,0.101815
361,0.085544
362,0.107303
363,0.101968
364,0.109535
365,0.106549
366,0.134530
367,0.155694
368,0.140113
369,0.082324
370,0.129912
371,0.124924
372,0.086202
373,0.066202
374,0.125892
375,0.100370
376,0.088077
377,0.092212
378,0.122490
379,0.139510
380,0.097200
381,0.123328
382,0.153713
383,0.091106
384,0.109276
385,0.101242
386,0.094459
387,0.105758
388,0.089410
389,0.080888
390,0.133925
391,0.125579
392,0.115349
393,0.105278
394,0.081692
395,0.082286
396,0.137937
397,0.138076
398,0.117846
399,0.139706
400,0.113891
401,0.107974
402,0.128119
403,0.117591
404,0.103222
405,0.094174
406,0.099197
407,0.107888
408,0.106328
409,0.097545
410,0.123517
411,0.154309
412,0.108526
413,0.091250
414,0.124867
415,0.167637
416,0.106058
417,0.095627
418,0.074580
419,0.067702
420,0.099222
421,0.083207
422,0.125423
423,0.135122
424,0.112493
425,0.156355
426,0.108987
427,0.075633
428,0.154983
429,0.115133
430,0.149812
431,0.087556
432,0.108712
